Name,Unique ID,Type,Street Address,Borough/City,State,Zipcode,Latitude,Longitude,Point
91st St Marine Transfer Station (DSNY),181,MTS,1740 York Avenue,Manhattan,NY,10128,40.7792990473106,-73.9431369838549,POINT (-73.9431369838549 40.7792990473106)
Bethlehem,294,LF,2335 Applebutter Rd,Bethlehem,PA,18015,40.6253249950004,-75.3071459639353,POINT (-75.3071459639353 40.6253249950004)
Keystone,345,LF,249 Dunham Dr,Dunmore,PA,18512,41.4227764252404,-75.6059970857193,POINT (-75.6059970857193 41.4227764252404)
Covanta - Hempstead,114,WTE,600 Merchants Concourse,Westbury,NY,11590,40.7381754192889,-73.5905972370384,POINT (-73.5905972370384 40.7381754192889)
Seneca Meadows,162,LF,1786 Salcman Rd,Waterloo,NY,13165,42.9170895380449,-76.8461851760186,POINT (-76.8461851760186 42.9170895380449)
Waste Management - Varick,103,TS,215 Varick Ave,Brooklyn,NY,11237,40.7127443051081,-73.9295195760748,POINT (-73.9295195760748 40.7127443051081)
SouthWest Marine Transfer Station (DSNY),376,MTS,400 Bay 41st St,Brooklyn,NY,11214,40.5895543009055,-73.995791345263,POINT (-73.995791345263 40.5895543009055)
Fairless Hills,100,LF,1400 Bordentown Rd,Morrisville,PA,19067,40.1706100160551,-74.7727989661533,POINT (-74.7727989661533 40.1706100160551)
Tunnel Hill Reclamation,449,LF,8822 Tunnel Hill Rd,New Lexington,OH,43764,39.7243943468937,-82.1632546369199,POINT (-82.1632546369199 39.7243943468937)
Action Environmental,270,TS,941 Stanley Ave,Brooklyn,NY,11208,40.6634828958449,-73.8746269112193,POINT (-73.8746269112193 40.6634828958449)
Blue Ridge,120,LF,1662 Orchard Rd,Chambersburg,PA,17202,39.9682749808912,-77.5628669828745,POINT (-77.5628669828745 39.9682749808912)
Tullytown,339,LF,1001 New Ford Mill Rd,Morrisville,PA,19067,40.1372000019287,-74.8033049860408,POINT (-74.8033049860408 40.1372000019287)
"Westchester Resco, Peekskill",323,WTE,1 Charles Pt,Peekskill,NY,10566,41.2915908021029,-73.9111775688895,POINT (-73.9111775688895 41.2915908021029)
Lee County,180,LF,1437 Sumter Hwy,Bishopville,SC,29010,34.1908822029042,-80.2833379340253,POINT (-80.2833379340253 34.1908822029042)
Waste Management - Broad Ave,257,TS,61 Broad Ave,Fairview,NJ,7022,40.8172860002628,-74.0089139690694,POINT (-74.0089139690694 40.8172860002628)
Covanta - Delaware Valley - Chester,65,WTE,10 Highland Ave,Chester,PA,19013,39.8250969869065,-75.3880340118039,POINT (-75.3880340118039 39.8250969869065)
Cumberland County,318,LF,620 Newville Road,Newburg,PA,17240,40.1344172201538,-77.5007357213073,POINT (-77.5007357213073 40.1344172201538)
Amelia/Maplewood,10,LF,20221 Maplewood Rd.,Jetersville,VA,23083,37.3106740171187,-78.0608370239246,POINT (-78.0608370239246 37.3106740171187)
Waste Management - A-1 Compaction,419,TS,325 Yonkers Ave,Yonkers,NY,10701,40.9331632758759,-73.8735964834013,POINT (-73.8735964834013 40.9331632758759)
Waste Management - Elizabeth NJ,397,TS,864 Julia St,Elizabeth,NJ,7201,40.6687329850805,-74.1985039847046,POINT (-74.1985039847046 40.6687329850805)
High Acres,403,LF,425 Perinton Pkwy,Fairport,NY,14450,43.0817270062401,-77.3817970870605,POINT (-77.3817970870605 43.0817270062401)
North Shore Marine Transfer Station (DSNY),148,MTS,120-15 31st Ave,Queens,NY,11354,40.7697364553319,-73.8472644378708,POINT (-73.8472644378708 40.7697364553319)
Tully Environmental,2,TS,127-50 Northern Blvd,Queens,NY,11368,40.7621846259704,-73.8416742973162,POINT (-73.8416742973162 40.7621846259704)
Covanta Energy-Essex,115,WTE,183 Raymond Blvd,Newark,NJ,7105,40.7348009899923,-74.1270340108186,POINT (-74.1270340108186 40.7348009899923)
Chemung County Landfill,186,LF,1690 Lake St,Elmira,NY,14901,42.1199154353347,-76.8088773248022,POINT (-76.8088773248022 42.1199154353347)
American Recycling,367,TS,172-33 Douglas Ave,Queens,NY,11433,40.7048944851319,-73.7860954902636,POINT (-73.7860954902636 40.7048944851319)
Waste Management - Harlem River Yard,101,TS,98 Lincoln Ave,Bronx,NY,10454,40.8074749403121,-73.9294918316073,POINT (-73.9294918316073 40.8074749403121)
Interstate Waste Services,41,TS,375 US 1 Truck Rt,Jersey City,NJ,7306,40.7362229797965,-74.0809990068541,POINT (-74.0809990068541 40.7362229797965)
Hamilton Marine Transfer Station (DSNY),54,MTS,500 Hamilton Ave,Brooklyn,NY,11232,40.6689973500841,-73.997535116265,POINT (-73.997535116265 40.6689973500841)
Waste Connections - Court St,653,TS,577 Court St,Brooklyn,NY,11231,40.6727815279592,-74.0003576381591,POINT (-74.0003576381591 40.6727815279592)
Covanta - Niagara,237,WTE,100 Energy Blvd,Niagara Falls,NY,14304,43.0835734550708,-79.0076322477343,POINT (-79.0076322477343 43.0835734550708)
Staten Island Transfer Station (DSNY),67,TS,600 W. Service Rd,Staten Island,NY,10314,40.5796038500369,-74.1926594520414,POINT (-74.1926594520414 40.5796038500369)
Regal Recycling,407,TS,172-06 Douglas Ave,Queens,NY,11433,40.7048221492695,-73.7856677610343,POINT (-73.7856677610343 40.7048221492695)
Commonwealth Environmental Systems,175,LF,99 Commonwealth Rd,Hegins,PA,17938,40.6704289658592,-76.3824909879464,POINT (-76.3824909879464 40.6704289658592)
Waste Management - Review,31,TS,38-50 Review Ave,Queens,NY,11101,40.730800182017,-73.9342768085794,POINT (-73.9342768085794 40.730800182017)
Waste Connections - 50th St,272,TS,110 50th St,Brooklyn,NY,11232,40.6502220130174,-74.018988848967,POINT (-74.018988848967 40.6502220130174)
Kearney/Apex,105,LF,11 Co Hwy 78,Amsterdam,OH,43903,40.4302019997451,-80.9154910412532,POINT (-80.9154910412532 40.4302019997451)
Atlantic Waste Waverly,370,LF,3474 Atlantic Lane,Waverly,VA,23890,37.0378346747423,-77.1550406536622,POINT (-77.1550406536622 37.0378346747423)
Grows North,177,LF,1513 Bordentown Rd,Morrisville,PA,19067,40.1521130002023,-74.7662289792194,POINT (-74.7662289792194 40.1521130002023)
